person_id,entry_time_sec,exit_time_sec,waiting_time_sec,processing_time_sec,total_journey_sec,queue1_entries,queue2_entries,timeline,first_seen_ts,exit_ts
1,0.04,10.84,0.0,0.0,10.8,0,0,"[('first_seen', 0.04), ('final_exit', 10.84)]",2025-09-16 16:37:23,2025-09-16 16:38:35
2,0.04,10.04,0.0,0.0,10.0,0,0,"[('first_seen', 0.04), ('final_exit', 10.04)]",2025-09-16 16:37:23,2025-09-16 16:38:30
3,0.04,10.6,0.0,0.0,10.56,0,0,"[('first_seen', 0.04), ('final_exit', 10.6)]",2025-09-16 16:37:23,2025-09-16 16:38:34
4,5.04,5.76,0.0,0.0,0.72,0,0,"[('first_seen', 5.04), ('final_exit', 5.76)]",2025-09-16 16:37:58,2025-09-16 16:38:02
6,5.84,16.92,2.08,6.16,11.08,1,2,"[('first_seen', 5.84), ('Queue1_enter', 5.84), ('Queue1_exit', 7.92), ('Queue2_enter', 9.76), ('Queue2_exit', 15.84), ('Queue2_enter', 15.88), ('Queue2_exit', 15.96), ('final_exit', 16.92)]",2025-09-16 16:38:03,2025-09-16 16:39:16
7,9.28,17.36,1.68,4.72,8.08,1,2,"[('first_seen', 9.28), ('Queue1_enter', 9.28), ('Queue1_exit', 10.96), ('Queue2_enter', 13.04), ('Queue2_exit', 17.36), ('final_exit', 17.36), ('Queue2_enter', 17.4), ('Queue2_exit', 17.8)]",2025-09-16 16:38:25,2025-09-16 16:39:19
8,11.6,20.68,1.48,5.08,9.08,1,1,"[('first_seen', 11.6), ('Queue1_enter', 11.6), ('Queue1_exit', 13.08), ('Queue2_enter', 14.72), ('Queue2_exit', 19.8), ('final_exit', 20.68)]",2025-09-16 16:38:40,2025-09-16 16:39:41
9,13.88,14.36,0.0,0.0,0.48,0,0,"[('first_seen', 13.88), ('final_exit', 14.36)]",2025-09-16 16:38:56,2025-09-16 16:39:00
10,14.48,22.92,1.84,5.88,8.44,1,1,"[('first_seen', 14.48), ('Queue1_enter', 14.48), ('Queue1_exit', 16.32), ('Queue2_enter', 17.04), ('Queue2_exit_end', 22.92), ('final_exit_end', 22.92)]",2025-09-16 16:39:00,2025-09-16 16:39:55
11,15.92,22.4,2.12,0.12,6.48,1,1,"[('first_seen', 15.92), ('Queue1_enter', 15.92), ('Queue1_exit', 18.04), ('Queue2_enter', 21.08), ('Queue2_exit', 21.2), ('final_exit', 22.4)]",2025-09-16 16:39:10,2025-09-16 16:39:52
12,19.08,19.48,0.0,0.0,0.4,0,0,"[('first_seen', 19.08), ('final_exit', 19.48)]",2025-09-16 16:39:30,2025-09-16 16:39:33
14,21.08,21.36,0.0,0.0,0.28,0,0,"[('first_seen', 21.08), ('final_exit', 21.36)]",2025-09-16 16:39:43,2025-09-16 16:39:45
15,22.44,22.92,0.0,0.0,0.48,0,0,"[('first_seen', 22.44), ('final_exit_end', 22.92)]",2025-09-16 16:39:52,2025-09-16 16:39:55
